microsample	richness	neutral	phylogenetic	section	type	batch	cryosection	buffer	Xcoord	Ycoord	size	collection_method	collection	collection_attempts	cycles	animal	protocol	adapter	type_binomial	fastp_total_before_filtering.total_reads	fastp_total_after_filtering.total_reads	fastp_total_low_quality_reads	fastp_total_adapter_trimmed_reads	fastp_total_total_polyx_trimmed_reads	fastp_total_polyx_trimmed_reads.A	fastp_total_polyx_trimmed_reads.T	fastp_total_polyx_trimmed_reads.C	fastp_total_polyx_trimmed_reads.G	fastp_total_before_filtering.total_bases	fastp_total_after_filtering.total_bases	fastp_total_adapter_trimmed_bases	fastp_total_total_polyx_trimmed_bases	fastp_total_polyx_trimmed_bases.A	fastp_total_polyx_trimmed_bases.T	fastp_total_polyx_trimmed_bases.C	fastp_total_polyx_trimmed_bases.G	fastp_avg_before_filtering.gc_content	fastp_avg_after_filtering.gc_content	fastp_avg_duplication.rate	raw_sequences_chicken	raw_sequences_human	raw_sequences_pig	reads_mapped_chicken	reads_mapped_human	reads_mapped_pig	reads_unmapped_chicken	reads_unmapped_human	reads_unmapped_pig	raw_sequences_bacteria	reads_mapped_bacteria	reads_unmapped_bacteria	mapbac_counts_unfilt	mapbac_counts_filt	sgm_microbial_fraction	sgm_average_bacterial_archaeal_genome_size	np_Redundancy	np_Coverage	np_Diversity	kr_Eukaryota	kr_Bacteria	kr_Archaea	kr_Viruses	kr_total	kr_Bacteria_pct	genome_count_filtering30	seq_yield	seq_yield_filtered	low_quality_pct	adapter_contamination_pct	mapping_host_pct	mapping_human_pct	mapping_pig_pct	seq_yield_bacteria	mapping_bacteria_total_pct	mapping_bacteria_filtered_pct	mapping_reference_pct	bacteria_retained_pct
M301583	71	32.75888353708132	4.034907684607014	Caecum right	Positive	MSEB0015	G121eI104C	B11	12444.05048	47534.52736	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	38901612	37385284	667586	1574573	81246	27430	28148	17779	7889	5835241800	5581772870	26629824	1992592	283101	338463	962281	408747	0.511777	0.505579	0.502561	37385284	37372772	36509340	6710	857129	1560	37378574	36515643	36507780	36506358	29627163	6879195	29627163	27279924	0.7443000000000001	2626333	0.9717	0.9741	17.9371	7535792	1911864	15450	192737	9655843	0.19800073385617392	retained	38901612	37385284	0.03897853898702192	0.00456361962583967	1.7248642549825443e-4	0.02203325147554296	4.010116598767167e-5	36506358	0.7615921674402593	0.7924819562692101	0.8115617285076753	0.9207740882918828
M301584	75	34.138154912644026	4.094384079913201	Caecum right	Positive	MSEB0015	G121eI104C	B11	12501.67726	49070.79602	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	47520868	46327706	547886	2275227	94972	33936	34654	19022	7360	7128130200	6911045674	38595890	2165047	344697	386334	1089088	344928	0.50481	0.500919	0.42822	46327706	46310140	45827866	13441	478486	1168	46314265	45831654	45826698	45825664	37821251	8004413	37821251	35020811	0.7419	2627427	0.963	0.9661	18.0384	9365114	2250249	20060	244250	11879673	0.1894201128263379	retained	47520868	46327706	0.02510816932047621	0.00541458824643803	2.828441601698016e-4	0.01006896591198628	2.457867562520112e-5	45825664	0.7958872089625972	0.8163851454246407	0.8253290339666437	0.9259559129865904
M301587	71	33.52243567930588	3.9354283550906777	Caecum right	Positive	MSEB0015	G121eI104C	B11	11275.81554	48031.12556	5000	Lid8_Covaris_500639	Fail	2	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	45633478	44677910	500276	1768732	86136	30648	31888	18012	5588	6845021700	6674140273	27960863	1843338	314994	344032	971192	213120	0.507174	0.50435	0.480982	44677910	44636550	44021628	38409	610410	736	44639501	44026140	44020892	44020268	36287606	7732662	36287606	33439813	0.7509	2645555	0.97	0.9725	17.9525	8871615	2153390	18450	238308	11281763	0.19087353634356616	retained	45633478	44677910	0.02094006509869793	0.00408484650969039	8.416846947322315e-4	0.01337636373015442	1.612850986286866e-5	44020268	0.7951970261832771	0.8122046443085632	0.8243385978477005	0.9215216071294424
M301588	71	30.59655381686109	3.97035163545028	Caecum right	Positive	MSEB0015	G121eI104C	B11	11512.58362	47676.07476	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	53111318	51865678	632736	2853593	104405	37075	36832	23015	7483	7966697700	7731272705	49121675	2324289	381226	405106	1229915	308042	0.507295	0.503942	0.517312	51865678	51857552	51115572	4498	736681	983	51861180	51120871	51114589	51113702	42181887	8931815	42181887	38846657	0.7428	2599704	0.9742	0.9764	17.9326	10656151	2479000	21914	278755	13435820	0.18450678856965932	retained	53111318	51865678	0.02345338144310408	0.00616587660907479	8.469004666764248e-5	0.01387050873036139	1.850829610366664e-5	51113702	0.7942165359180128	0.8132909590037558	0.825255955829613	0.9209321764102208
M301589	83	35.96441468062859	4.098600493632974	Caecum right	Positive	MSEB0015	G121eI104C	B11	11919.21336	47403.24194	5000	Lid8_Covaris_500639	Success	2	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	53299414	51804392	649146	1667854	98596	35499	36225	18462	8410	7994912100	7743914239	27092945	2154036	356484	398833	991195	407524	0.50948	0.505073	0.308833	51804392	51793562	51484964	5822	305490	1340	51798570	51488072	51483624	51482330	42917281	8565049	42917281	40017951	0.7605	2652565	0.9615	0.9648	18.0733	10369968	2335441	21833	283228	13010470	0.17950473733846664	retained	53299414	51804392	0.02804950163241944	0.00338877334248615	1.0923197016762698e-4	0.00573158271496193	2.5140989354967393e-5	51482330	0.8052111229590629	0.8284486960101761	0.833631286695843	0.9324437631545204
M301591	60	26.27563229756169	3.9013900066561376	Caecum right	Positive	MSEB0015	G121eI104C	B11	13464.0061	47206.50784	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	50491772	49032364	713292	1737278	117123	44067	43379	21809	7868	7573765800	7323142500	32851512	2548736	461554	493900	1199517	393765	0.493379	0.48885	0.622591	49032364	49018366	46869674	8407	2125205	1457	49023957	46893161	46868217	46867028	38277106	8589922	38277106	34742573	0.7334	2570440	0.981	0.9827	17.7276	10360587	2916498	17357	239940	13534382	0.21548808065266667	retained	50491772	49032364	0.02890387764564888	0.00433753998572282	1.6650237587225103e-4	0.04209012509998659	2.8856186707014364e-5	46867028	0.7580860105286065	0.7806498173328946	0.8167171598762354	0.9076593460331092
M301593	77	33.11945293319433	4.019268433622516	Caecum right	Positive	MSEB0015	G121eI104C	B11	14072.68786	48229.9088	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	45166770	44116850	511490	2013553	84314	29520	30889	17612	6293	6775015500	6583873683	34119673	1884238	300174	337175	969166	277723	0.508248	0.504856	0.344234	44116850	44082210	43630510	31114	448271	832	44085736	43633939	43629678	43628896	36286584	7342312	36286584	33672332	0.7406999999999999	2603579	0.958	0.9616	18.0256	8851261	2057901	18697	239882	11167741	0.1842719131828003	retained	45166770	44116850	0.02324540807323614	0.00503610257423027	6.888692726976049e-4	0.00992479648201542	1.842062206352148e-5	43628896	0.8033911656733479	0.8225107640278034	0.8317098832846928	0.927955411840365
M301594	77	37.72785737981427	3.7329690490637857	Caecum right	Positive	MSEB0015	G121eI104C	B11	11274.23834	45873.3246	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	59037774	57848020	660722	2420705	103690	35257	35542	24861	8030	8855666100	8638513715	39352482	2337086	367319	393974	1308600	267193	0.525647	0.523337	0.411315	57848020	57826032	56763660	18726	1053366	814	57829294	56772666	56762846	56762142	47298208	9463934	47298208	43812171	0.7634000000000001	2749505	0.9707	0.9732	18.0469	10505614	2775262	26567	315998	13623441	0.20371226329676911	retained	59037774	57848020	0.02015241970335805	0.00444376307277439	3.171867557201598e-4	0.01784223775103715	1.378778271687547e-5	56762142	0.8011516152353576	0.8176288142619229	0.8332703159792666	0.926296636862014
M301595	74	32.5371629256921	4.010470881744112	Caecum right	Positive	MSEB0015	G121eI104C	B11	11630.1438	45793.02248	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	52825034	51361496	698454	2048589	106370	37054	38962	22223	8131	7923755100	7671179944	33547932	2405761	382841	432653	1215560	374707	0.507534	0.503383	0.443587	51361496	51350674	50497320	6064	845679	1249	51355432	50504995	50496071	50494964	41461229	9033735	41461229	38344003	0.7283	2603551	0.9678	0.9705	17.9989	10239182	2538696	21700	277404	13076982	0.19413470172246164	retained	52825034	51361496	0.02770538680580877	0.00423384261333367	1.1479405768106084e-4	0.01600905737230571	2.3644092685297655e-5	50494964	0.7848784157905133	0.8072434066172839	0.8210963176446665	0.9248158803975636
M301597	56	20.582606035109816	2.797734882268279	Caecum right	Positive	MSEB0015	G121eI104C	B11	12159.4578	45823.12736	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	57876030	56581560	612522	2076411	113004	40845	42538	22175	7446	8681404500	8456836024	30530637	2547154	423495	475137	1309408	339114	0.498999	0.495688	0.610135	56581560	56556888	55092104	19634	1453658	1128	56561926	55103230	55090976	55090070	47809651	7280419	47809651	43271897	0.6587999999999999	2914615	0.9842	0.9856	17.1968	10034377	3303615	22870	310264	13671126	0.2416490785031167	retained	57876030	56581560	0.02236625421612367	0.00351678544641019	3.392423426416774e-4	0.02511675386165913	1.9489933915646944e-5	55090070	0.8260699809575743	0.8449687672096704	0.8678451670146725	0.9050870712275226
M301598	70	34.58837703104476	4.154509289393586	Caecum right	Positive	MSEB0015	G121eI104C	B11	12544.71336	45818.00912	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	53952664	52166840	829296	1573954	113762	38998	41409	23626	9729	8092899600	7800155428	25266978	2668355	397872	470802	1298803	500878	0.505348	0.500154	0.500746	52166840	52133280	51388344	26975	739293	1674	52139865	51393987	51386670	51385104	42004056	9381048	42004056	38579042	0.7613	2629249	0.9767	0.9787	17.9913	10615129	2508060	21497	272303	13416989	0.18693165806426465	retained	53952664	52166840	0.03309982988050414	0.00312211682448154	4.999753116917452e-4	0.01370262272869417	3.102719821212165e-5	51385104	0.7785353472073223	0.8051868965036026	0.8174364306044802	0.91845992206086
M301599	56	30.608777417865245	3.9696355716920646	Caecum right	Positive	MSEB0015	G121eI104C	B11	12991.44836	45806.04194	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	37985688	37061928	472798	1777439	81051	28796	29547	17396	5312	5697853200	5529261451	30436892	1779198	299652	326398	936420	216728	0.505014	0.501523	0.57916	37061928	37036026	35908050	22775	1118873	839	37039153	35917153	35907211	35906588	28748832	7157756	28748832	25770616	0.7109000000000001	2658596	0.9794	0.9812	17.8579	7434853	2067570	15272	189796	9707491	0.2129870632895771	retained	37985688	37061928	0.0243186328492984	0.00534181751119877	5.995679214761097e-4	0.02945512004415978	2.208726613033835e-5	35906588	0.7568332578312127	0.7756971520747652	0.8006561915601672	0.8964056696285957
M301602	72	34.51728098437401	4.018068260598358	Caecum right	Positive	MSEB0015	G121eI104C	B11	14100.7551	45507.11548	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	58318572	56904708	687254	1740143	120191	43085	44292	24580	8234	8747785800	8509217340	27170433	2682508	442073	490488	1400001	349946	0.504164	0.500578	0.486441	56904708	55936360	55261418	953872	669186	1134	55950836	55267174	55260284	55259248	45551925	9707323	45551925	42018520	0.7433	2651162	0.9754	0.9775	18.0131	11033887	3167589	23640	295266	14520382	0.21814777324728785	retained	58318572	56904708	0.02424380350053838	0.00310597831510689	0.01635623039603919	0.01147466368003661	1.9444920564927413e-5	55259248	0.7810877982403273	0.8004948377909259	0.824331250399933	0.922431269370065
M301603	77	33.2386057158347	3.932324325112844	Caecum right	Positive	MSEB0015	G121eI104C	B11	13995.41188	46086.12248	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	49757536	48687272	521846	1907711	95280	33592	34907	20289	6492	7463630400	7271341756	32251916	2156083	342877	378789	1157093	277324	0.50688	0.503773	0.284398	48687272	48657332	48246062	26420	406301	904	48660852	48251031	48245158	48244348	40223319	8021029	40223319	37374667	0.7412000000000001	2641254	0.9522	0.9562	18.044	9628953	2270959	20708	264226	12184846	0.18637568336932617	retained	49757536	48687272	0.02150958600522341	0.00432121022498648	5.309748456997549e-4	0.00816561736497563	1.816810221470774e-5	48244348	0.8083864723526503	0.8261567622848124	0.8337415815009045	0.929179091362401
M301604	73	33.4665031064394	4.018768979792566	Caecum right	Positive	MSEB0015	G121eI104C	B11	13643.37694	46727.2824	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	54538454	53093968	737136	2439644	116461	38647	39487	30046	8281	8180768100	7921535429	43130812	2875523	398226	437546	1665289	374462	0.507447	0.503655	0.475814	53093968	53084770	52352190	5014	726172	1203	53088954	52358598	52350987	52349906	43203239	9146667	43203239	39885874	0.7365	2649619	0.9772	0.9792	17.9661	10569928	2590253	23084	285845	13469110	0.19231062779946115	retained	54538454	53093968	0.02648564258898868	0.0052722203432218	9.193513259470096e-5	0.01331486220713187	2.2057830975553507e-5	52349906	0.7921610502563934	0.8137127554678151	0.825278253603741	0.923214900623539
M301606	78	35.360941009602804	4.015888011733662	Caecum right	Positive	MSEB0015	G121eI104C	B11	13595.2605	47410.63834	5000	Lid8_Covaris_500639	Success	2	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	49407684	47938960	663258	1418404	94995	33255	34526	19153	8061	7411152600	7169631974	21623850	2175116	336469	379026	1082006	377615	0.508815	0.504227	0.381508	47938960	47927568	47538616	6628	385429	1349	47932332	47542139	47537267	47536008	38917241	8618767	38917241	36052177	0.7631999999999999	2685922	0.9574	0.961	18.0928	9494439	2225482	20051	251447	11991419	0.18558954532403543	retained	49407684	47938960	0.02972663118554595	0.00291774453544513	1.3414917404345445e-4	0.00780099306010781	2.7303445350727222e-5	47536008	0.7876758805371246	0.8118082035989099	0.8186897183288929	0.92638059825464
M301608	81	34.949890843506424	3.938108908539821	Caecum right	Positive	MSEB0015	G121eI104C	B11	13596.36506	48006.83212	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	64745148	63322132	717312	2518472	113889	39540	40462	25144	8743	9711772200	9459997033	39052498	2526961	400147	435865	1325676	365273	0.514261	0.511276	0.354259	63322132	63256886	62880908	60415	372131	1105	63261717	62884755	62879803	62878764	52128224	10750540	52128224	48373468	0.7668	2647100	0.9665	0.9694	18.0729	12511465	2777322	28211	345881	15662879	0.1773187419758526	retained	64745148	63322132	0.02197872804306509	0.00402115053728298	9.331201158116126e-4	0.00574762760600995	1.706691596411209e-5	62878764	0.8051294283858923	0.8232228188400227	0.829027491698151	0.9279707668536722
M301609	83	35.731741964606975	3.974462167478835	Caecum right	Positive	MSEB0015	G121eI104C	B11	13573.00912	48179.36018	5000	Lid8_Covaris_500639	Fail	2	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	57613690	56443488	610316	2358941	103210	36527	38025	21417	7241	8642053500	8428047432	39051629	2226400	370490	405616	1178741	271553	0.509909	0.507187	0.235638	56443488	56408412	56162534	31738	243025	829	56411750	56165387	56161705	56160934	46500267	9660667	46500267	43371736	0.7597	2643780	0.9557	0.9594	18.11	11255900	2494761	24697	307848	14083206	0.1771443945363009	retained	57613690	56443488	0.02031117951306365	0.00451879047034365	5.50876015752506e-4	0.00421818147735373	1.4388941239486656e-5	56160934	0.8071044746482997	0.8238375877833772	0.8279824370442272	0.9327201497574196
M301618	80	34.671699403302604	4.036515235450277	Caecum right	Positive	MSEB0015	G121eI104C	B11	10880.39024	47181.58112	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	57331748	56132772	593636	1662507	106843	38639	40534	20740	6930	8599762200	8395753106	24673714	2233519	390778	432690	1138409	271642	0.505588	0.502622	0.396578	56132772	56125288	55632942	4210	488482	906	56128562	55636806	55632036	55631218	46106141	9525077	46106141	42887959	0.754	2639775	0.9655	0.9684	18.0333	11269444	2573419	23612	301888	14168363	0.18163135712996625	retained	57331748	56132772	0.0209129503604181	0.00286911584601723	7.34322630455991e-5	0.00852027047910697	1.5802762546155054e-5	55631218	0.8041991149476203	0.8213765213661638	0.8287818001755777	0.9302005778362584
M301620	77	34.08471641313585	3.94484085794461	Caecum right	Positive	MSEB0015	G121eI104C	B11	11177.6133	47177.76744	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	53531746	52024252	713076	2081020	121317	41169	42970	28321	8857	8029761900	7770053083	34401448	2855263	438019	490862	1521612	404770	0.507485	0.503209	0.368229	52024252	52010970	49909252	7611	2086314	1397	52016641	49924656	49907855	49906604	40981483	8925121	40981483	37903834	0.7228	2656004	0.9612	0.9644	18.0545	9881746	3080567	22306	267224	13251843	0.2324632883139349	retained	53531746	52024252	0.02816074782989518	0.0042842426000203	1.421773166150792e-4	0.03897339720621105	2.6096664211176673e-5	49906604	0.7655547607208627	0.7877380533986341	0.8211635277768049	0.9249014731848528
M301621	75	35.16074844168149	3.891528768022837	Caecum right	Positive	MSEB0015	G121eI104C	B11	11837.50238	47108.93012	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	51121596	50102710	549226	2205981	91684	32360	33111	19983	6230	7668239400	7481106621	34768607	1992667	328754	353416	1087683	222814	0.513835	0.511259	0.391887	50102710	50096370	49566834	3729	524523	1752	50098981	49571847	49565082	49564466	40329243	9235223	40329243	37281189	0.7459	2668871	0.9612	0.9645	18.1052	9938136	2327640	21988	268163	12555927	0.18538177228969235	retained	51121596	50102710	0.01993063753330393	0.00453410557317759	7.294373203841289e-5	0.01026030173236375	3.4271230499141696e-5	49564466	0.7888885746055346	0.8049313699797875	0.8136725007790864	0.924420748487642
